TIME_PERIOD,Energochlonnosc finalna PKB z korekta klimatyczna
2013-01,0.156
2013-02,0.156
2013-03,0.156
2013-04,0.156
2013-05,0.156
2013-06,0.156
2013-07,0.156
2013-08,0.156
2013-09,0.156
2013-10,0.156
2013-11,0.156
2013-12,0.156
2014-01,0.149
2014-02,0.149
2014-03,0.149
2014-04,0.149
2014-05,0.149
2014-06,0.149
2014-07,0.149
2014-08,0.149
2014-09,0.149
2014-10,0.149
2014-11,0.149
2014-12,0.149
2015-01,0.144
2015-02,0.144
2015-03,0.144
2015-04,0.144
2015-05,0.144
2015-06,0.144
2015-07,0.144
2015-08,0.144
2015-09,0.144
2015-10,0.144
2015-11,0.144
2015-12,0.144
2016-01,0.148
2016-02,0.148
2016-03,0.148
2016-04,0.148
2016-05,0.148
2016-06,0.148
2016-07,0.148
2016-08,0.148
2016-09,0.148
2016-10,0.148
2016-11,0.148
2016-12,0.148
2017-01,0.149
2017-02,0.149
2017-03,0.149
2017-04,0.149
2017-05,0.149
2017-06,0.149
2017-07,0.149
2017-08,0.149
2017-09,0.149
2017-10,0.149
2017-11,0.149
2017-12,0.149
2018-01,0.15
2018-02,0.15
2018-03,0.15
2018-04,0.15
2018-05,0.15
2018-06,0.15
2018-07,0.15
2018-08,0.15
2018-09,0.15
2018-10,0.15
2018-11,0.15
2018-12,0.15
2019-01,0.142
2019-02,0.142
2019-03,0.142
2019-04,0.142
2019-05,0.142
2019-06,0.142
2019-07,0.142
2019-08,0.142
2019-09,0.142
2019-10,0.142
2019-11,0.142
2019-12,0.142
2020-01,0.141
2020-02,0.141
2020-03,0.141
2020-04,0.141
2020-05,0.141
2020-06,0.141
2020-07,0.141
2020-08,0.141
2020-09,0.141
2020-10,0.141
2020-11,0.141
2020-12,0.141
2021-01,0.135
2021-02,0.135
2021-03,0.135
2021-04,0.135
2021-05,0.135
2021-06,0.135
2021-07,0.135
2021-08,0.135
2021-09,0.135
2021-10,0.135
2021-11,0.135
2021-12,0.135
2022-01,0.125
2022-02,0.125
2022-03,0.125
2022-04,0.125
2022-05,0.125
2022-06,0.125
2022-07,0.125
2022-08,0.125
2022-09,0.125
2022-10,0.125
2022-11,0.125
2022-12,0.125
2023-01,0.123
2023-02,0.123
2023-03,0.123
2023-04,0.123
2023-05,0.123
2023-06,0.123
2023-07,0.123
2023-08,0.123
2023-09,0.123
2023-10,0.123
2023-11,0.123
2023-12,0.123
