zmienna;jedn_miary;rok;wartosc
Energochlonnosc pierwotna PKB;kgoe/euro15;2013;0,248
Energochlonnosc pierwotna PKB;kgoe/euro15;2014;0,230
Energochlonnosc pierwotna PKB;kgoe/euro15;2015;0,222
Energochlonnosc pierwotna PKB;kgoe/euro15;2016;0,225
Energochlonnosc pierwotna PKB;kgoe/euro15;2017;0,224
Energochlonnosc pierwotna PKB;kgoe/euro15;2018;0,220
Energochlonnosc pierwotna PKB;kgoe/euro15;2019;0,203
Energochlonnosc pierwotna PKB;kgoe/euro15;2020;0,201
Energochlonnosc pierwotna PKB;kgoe/euro15;2021;0,199
Energochlonnosc pierwotna PKB;kgoe/euro15;2022;0,180
Energochlonnosc pierwotna PKB;kgoe/euro15;2023;0,169
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2013;0,158
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2014;0,147
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2015;0,142
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2016;0,147
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2017;0,149
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2018;0,148
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2019;0,139
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2020;0,138
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2021;0,137
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2022;0,124
Energochlonnosc pierwotna PKB z korekta klimatyczna;kgoe/euro15;2023;0,120
Energochlonnosc finalna PKB;kgoe/euro15;2013;0,247
Energochlonnosc finalna PKB;kgoe/euro15;2014;0,233
Energochlonnosc finalna PKB;kgoe/euro15;2015;0,224
Energochlonnosc finalna PKB;kgoe/euro15;2016;0,226
Energochlonnosc finalna PKB;kgoe/euro15;2017;0,224
Energochlonnosc finalna PKB;kgoe/euro15;2018;0,222
Energochlonnosc finalna PKB;kgoe/euro15;2019;0,206
Energochlonnosc finalna PKB;kgoe/euro15;2020;0,204
Energochlonnosc finalna PKB;kgoe/euro15;2021;0,198
Energochlonnosc finalna PKB;kgoe/euro15;2022;0,181
Energochlonnosc finalna PKB;kgoe/euro15;2023;0,172
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2013;0,156
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2014;0,149
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2015;0,144
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2016;0,148
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2017;0,149
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2018;0,150
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2019;0,142
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2020;0,141
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2021;0,135
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2022;0,125
Energochlonnosc finalna PKB z korekta klimatyczna;kgoe/euro15;2023;0,123
